Location,Area_sqft,Developer,Name,No_of_Bedroom,Township_Size_Ordinal,Loc_trend,Loc_tag_ordinal,hasClubHouse_yes,hasEduFacility_yes,hasHospital_yes,hasMall_yes,hasParkOrJogTrack_yes,hasPool_yes,hasGym_yes,Price_Mil
0.1193250896950941,-0.0913614420321781,-0.22568652838827544,0.1444411709230987,2.0,0,0.8067036435406836,3.0,1,0,0,0,1,1,1,6.5
1.585698842100441,-0.28066668261321653,0.20650152437940764,0.02998503174618157,2.0,1,0.752968180190763,3.0,0,0,0,0,1,1,1,9.5
0.4480856584738434,0.5565424095339112,-0.33101991788466406,0.2519448458716994,3.0,1,0.6454972534909217,3.0,1,0,0,0,1,1,1,12.0
-0.3900230981895131,-0.13935431992596248,0.061506340684054944,-0.23642695322204457,2.0,1,0.40906121475127094,3.0,1,0,0,0,1,0,1,5.9
-0.1007264749179078,0.14060413445444644,-0.0696915126743317,-0.13506838394326304,3.0,0,0.47354377077117565,3.0,1,0,0,0,1,0,0,9.7
1.4845661709307514,1.215111345076397,1.2620935861018145,0.660808593485887,3.0,1,0.752968180190763,3.0,1,0,0,0,1,1,1,16.0
-0.3900230981895131,0.10594261153115773,0.061506340684054944,-0.23642695322204457,3.0,1,0.40906121475127094,3.0,1,0,0,0,1,0,1,6.5
0.36300764803066227,-0.6086180148874099,0.09447105575145813,-0.03696456157298095,2.0,1,-0.4399591061774753,1.0,1,0,0,0,1,1,1,4.8
-0.14953667802126486,-0.45130802623556104,-0.30720585909723047,-0.780799987806352,2.0,0,0.03291297130182643,2.0,0,0,0,0,1,1,1,6.072
-0.016627685067521186,-2.0830658746242303,0.02954695799276178,-0.07576330975989931,3.5,0,-0.8268544422969039,0.0,0,0,0,0,1,1,1,14.3
1.9706449496554248,-0.4246453162945697,2.374573532326566,1.3256284490808632,2.0,0,-0.8268544422969039,0.0,0,0,0,0,1,0,1,11.1
-0.4356098826898419,-1.296515931364986,-0.5194660600613591,-0.5437973560978432,2.0,0,0.40906121475127094,3.0,1,0,0,0,1,0,1,3.999
-0.15804570678658741,0.21525972228922216,-0.24958337589004623,-0.24257205889186378,3.0,2,0.8067036435406836,3.0,1,1,1,1,1,1,1,9.5
-0.14953667802126486,0.22859107725971783,-0.04877619712717891,0.33319408315391474,3.0,0,0.03291297130182643,2.0,1,0,0,0,1,1,1,9.887
1.4525239426565864,0.47922055070503633,1.7631790467872148,0.9602580934468581,3.0,0,-0.8268544422969039,0.0,0,0,0,0,1,0,1,16.2
-0.6340551890193259,0.07661363059606727,-0.6990314359292316,-0.5111629628328209,3.0,0,-1.256738149096269,1.0,1,0,0,0,1,1,1,9.23
1.5130828603128992,0.7858417150264366,1.8346399368209292,1.0029632395073556,3.0,0,1.000151311600398,3.0,1,0,0,0,1,1,1,14.9
0.8377396014365657,-0.8512486753504309,2.315118057205716,0.6521353973288336,1.0,0,-0.4399591061774753,2.0,1,0,0,0,1,1,1,6.5
-0.6099065470120594,0.4778874152079868,0.8442532826503077,-0.565083083737666,3.0,0,-0.8268544422969039,2.0,1,0,0,0,1,1,1,10.9
1.0257258061428653,2.0709843341822185,1.7323645830660122,2.0040704532647426,3.5,0,-0.7193835155970626,3.0,1,0,0,0,1,1,1,21.1
-1.224710877292581,-0.4459754842473628,0.20650152437940764,0.02998503174618157,2.0,0,-0.6011654962272373,1.0,0,0,0,0,1,1,0,4.574
0.3441464125530094,2.1136446700878047,0.9910778856111238,2.703028634699797,3.5,0,-0.7193835155970626,3.0,1,0,0,0,1,1,1,21.3
-0.4356098826898419,0.572540035498506,-0.4079957560956011,-0.3519588585983929,3.0,1,0.40906121475127094,3.0,1,0,0,0,1,0,1,7.6
0.36300764803066227,3.5347671099426425,1.3475227200807895,0.7118611852276457,6.0,1,-0.4399591061774753,1.0,1,0,0,0,1,1,1,18.8
0.15775483243891783,-0.5606251369936255,-0.09362571782031845,0.02998503174618157,2.0,1,0.06515424931177889,3.0,1,0,0,0,1,1,1,7.0
3.1207156685524984,-0.9578995151143962,0.02954695799276178,-0.07576330975989931,1.0,0,-0.7193835155970626,3.0,1,0,0,0,1,0,1,3.6
-1.776271406845068,-1.5311477788457097,0.061506340684054944,-1.3166349280312042,1.0,0,-0.5689242182172848,1.0,1,0,0,0,1,1,1,1.4
-0.9852748777813469,-0.6752747897398882,-1.1628849222448407,-0.7883625733391199,2.0,0,-0.1282934187479355,3.0,1,0,0,0,1,0,0,6.499
-1.0526843362891503,-0.5659576789818237,-0.8925683571221432,-0.8063733062672822,2.0,0,-0.8268544422969039,2.0,0,0,0,0,1,0,1,4.791
1.9823827801075338,-0.27000159863682,2.3884244372574126,1.3339057727730648,2.0,0,1.000151311600398,3.0,1,0,0,0,1,1,1,11.0
0.13333094278698315,-1.9497523249192736,-0.9962887634478227,0.02998503174618157,2.0,0,-0.8268544422969039,0.0,0,0,0,0,1,0,1,5.4
-0.5265747152801364,1.3484248947813535,0.028109624956506738,0.29215122030247637,4.0,0,0.03291297130182643,2.0,1,0,0,0,1,1,1,14.0
-0.6261712013274728,-0.7899244424861509,0.9166667852910357,-0.5056033052472853,2.0,0,-0.8268544422969039,0.0,1,0,0,0,1,1,1,5.53
-0.9869288920441792,2.1616375479815892,-0.4079957560956011,-0.7600036556950734,3.0,0,-1.084784666376523,2.0,1,0,0,0,1,1,1,9.5
1.5084629577967992,0.5778725774867042,1.829188347551399,0.9997053607444787,3.0,0,-0.8268544422969039,0.0,0,0,0,0,1,0,1,16.7
