Location,Area_sqft,Developer,Name,No_of_Bedroom,Township_Size_Ordinal,Loc_trend,Loc_tag_ordinal,hasClubHouse_yes,hasEduFacility_yes,hasHospital_yes,hasMall_yes,hasParkOrJogTrack_yes,hasPool_yes,hasGym_yes,Price_Mil
0.04073422333425567,-0.0913614420321781,0.270531787542268,0.12116510851893997,2.0,0,0.8067036435406836,3.0,1,0,0,0,1,1,1,6.5
1.3425159045194737,-0.28066668261321653,1.5718685801046657,1.0074886660046047,2.0,1,0.752968180190763,3.0,0,0,0,0,1,1,1,9.5
0.43941673833409667,0.5565424095339112,-0.4837258114522015,0.22422598729634283,3.0,1,0.6454972534909217,3.0,1,0,0,0,1,1,1,12.0
-0.5868421321660395,-0.13935431992596248,-0.4837258114522015,-0.38586123500721503,2.0,1,0.40906121475127094,3.0,1,0,0,0,1,0,1,5.9
-0.1133306395687533,0.14060413445444644,-0.12289561486031697,-0.14679317630230723,3.0,0,0.47354377077117565,3.0,1,0,0,0,1,0,0,9.7
1.3425159045194737,1.215111345076397,1.7461402020473962,1.1261828002301775,3.0,1,0.752968180190763,3.0,1,0,0,0,1,1,1,16.0
-0.5868421321660395,0.10594261153115773,-0.4837258114522015,-0.38586123500721503,3.0,1,0.40906121475127094,3.0,1,0,0,0,1,0,1,6.5
0.3779439201424808,-0.6086180148874099,0.11965568880719459,0.018405360746714675,2.0,1,-0.4399591061774753,1.0,1,0,0,0,1,1,1,4.8
0.05278150490660666,-0.45130802623556104,-0.3204710840710573,-0.7655948839523521,2.0,0,0.03291297130182643,2.0,0,0,0,0,1,1,1,6.072
1.6370360571236058,-2.0830658746242303,1.602132226443326,1.0281008417600852,3.5,0,-0.8268544422969039,0.0,0,0,0,0,1,1,1,14.3
1.9769014290186615,-0.4246453162945697,1.9370776009879098,1.256227778327499,2.0,0,-0.8268544422969039,0.0,0,0,0,0,1,0,1,11.1
-0.3139570826961479,-1.296515931364986,-0.5996687632244261,-0.5386306374139931,2.0,0,0.40906121475127094,3.0,1,0,0,0,1,0,1,3.999
0.04073422333425567,0.21525972228922216,-0.274213846553619,-0.2498540550797101,3.0,2,0.8067036435406836,3.0,1,1,1,1,1,1,1,9.5
-0.15417630104722188,0.22859107725971783,-0.10993237542306446,0.28761542805154033,3.0,0,0.03291297130182643,2.0,1,0,0,0,1,1,1,9.887
1.4523205465289155,0.47922055070503633,1.420090715313923,0.9041147371049044,3.0,0,-0.8268544422969039,0.0,0,0,0,0,1,0,1,16.2
-0.652884476256438,0.07661363059606727,-0.6546387015673882,-0.5089564740529328,3.0,0,-1.256738149096269,1.0,1,0,0,0,1,1,1,9.23
1.5389874510442683,0.7858417150264366,1.5055030026312612,0.9622879346820113,3.0,0,1.000151311600398,3.0,1,0,0,0,1,1,1,14.9
0.594791010373849,-0.8512486753504309,1.457933063374841,0.3858038082404477,1.0,0,-0.4399591061774753,2.0,1,0,0,0,1,1,1,6.5
-0.6259274514737159,0.4778874152079868,0.6348255590581562,-0.5590366914119187,3.0,0,-0.8268544422969039,2.0,1,0,0,0,1,1,1,10.9
1.0680479828995668,2.0709843341822185,1.457933063374841,1.9152637797200678,3.5,0,-0.7193835155970626,3.0,1,0,0,0,1,1,1,21.1
-1.1792816148754333,-0.4459754842473628,-0.0018268434214543249,-0.06433481132299973,2.0,0,-0.6011654962272373,1.0,0,0,0,0,1,1,0,4.574
1.245427397842198,2.1136446700878047,1.4611761681144144,1.8584687146602192,3.5,0,-0.7193835155970626,3.0,1,0,0,0,1,1,1,21.3
-0.5518667274251028,0.572540035498506,-0.3403764721403006,-0.38577660123211244,3.0,1,0.40906121475127094,3.0,1,0,0,0,1,0,1,7.6
0.3779439201424808,3.5347671099426425,3.1758418360536678,2.099933981045075,6.0,1,-0.4399591061774753,1.0,1,0,0,0,1,1,1,18.8
0.14223473276567775,-0.5606251369936255,-0.1887592941402194,-0.06433481132299973,2.0,1,0.06515424931177889,3.0,1,0,0,0,1,1,1,7.0
2.0109882040150833,-0.9578995151143962,-0.940014066004148,-0.7033219217002827,1.0,0,-0.7193835155970626,3.0,1,0,0,0,1,0,1,3.6
-1.8636973362611127,-1.5311477788457097,-0.0022411327642865744,-1.3216871943647,1.0,0,-0.5689242182172848,1.0,1,0,0,0,1,1,1,1.4
-0.8421514231729815,-0.6752747897398882,-1.042068757851159,-0.7728300444652116,2.0,0,-0.1282934187479355,3.0,1,0,0,0,1,0,0,6.499
-1.0723427303983741,-0.5659576789818237,-0.8399488643439247,-0.7905083309007167,2.0,0,-0.8268544422969039,2.0,0,0,0,0,1,0,1,4.791
2.005166608458309,-0.27000159863682,1.964933604855541,1.2752001401222337,2.0,0,1.000151311600398,3.0,1,0,0,0,1,1,1,11.0
0.02955359798826851,-1.9497523249192736,-0.9026825476851132,-0.05088536664254888,2.0,0,-0.8268544422969039,0.0,0,0,0,0,1,0,1,5.4
-0.3372547721650969,1.3484248947813535,-0.317404832010007,-0.053598502177439465,4.0,0,0.03291297130182643,2.0,1,0,0,0,1,1,1,14.0
-0.6472232861718747,-0.7899244424861509,0.37221874533401855,-0.5051565283741009,2.0,0,-0.8268544422969039,0.0,1,0,0,0,1,1,1,5.53
-1.0089895604542145,2.1616375479815892,-0.4837258114522015,-0.7479839498476845,3.0,0,-1.084784666376523,2.0,1,0,0,0,1,1,1,9.5
1.3769861082865278,0.5778725774867042,1.3458468419457534,0.8535482009543206,3.0,0,-0.8268544422969039,0.0,0,0,0,0,1,0,1,16.7
